Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
23-July-2025,idrepo,410,0,0,410,0,0,,,22-July-2025,auth,512,20,492,0,0,0,,,21-July-2025,auth,512,198,157,153,4,0,,,18-July-2025,auth,512,427,0,81,4,0,,,17-July-2025,auth,512,116,207,189,0,0
23-July-2025,masterdata-ara,945,920,0,10,15,0,,,22-July-2025,idrepo,410,322,0,4,84,0,,,21-July-2025,idrepo,410,322,0,4,84,0,,,18-July-2025,idrepo,410,322,0,4,84,0,,,17-July-2025,idrepo,410,322,0,4,84,0
23-July-2025,masterdata-eng,945,935,0,10,0,0,,,22-July-2025,masterdata-ara,945,920,0,10,15,0,,,21-July-2025,masterdata-ara,945,920,0,10,15,0,,,18-July-2025,masterdata-ara,945,920,0,10,15,0,,,17-July-2025,masterdata-ara,945,920,0,10,15,0
23-July-2025,masterdata-fra,945,919,0,11,15,0,,,22-July-2025,masterdata-eng,945,935,0,10,0,0,,,21-July-2025,masterdata-eng,945,935,0,10,0,0,,,18-July-2025,masterdata-eng,945,935,0,10,0,0,,,17-July-2025,masterdata-eng,945,935,0,10,0,0
23-July-2025,masterdata-hin,945,920,0,10,15,0,,,22-July-2025,masterdata-fra,945,920,0,10,15,0,,,21-July-2025,masterdata-fra,945,920,0,10,15,0,,,18-July-2025,masterdata-fra,945,920,0,10,15,0,,,17-July-2025,masterdata-fra,945,920,0,10,15,0
23-July-2025,masterdata-kan,945,920,0,10,15,0,,,22-July-2025,masterdata-hin,945,920,0,10,15,0,,,21-July-2025,masterdata-hin,945,920,0,10,15,0,,,18-July-2025,masterdata-hin,945,920,0,10,15,0,,,17-July-2025,masterdata-hin,945,920,0,10,15,0
23-July-2025,masterdata-tam,945,920,0,10,15,0,,,22-July-2025,masterdata-kan,945,920,0,10,15,0,,,21-July-2025,masterdata-kan,945,920,0,10,15,0,,,18-July-2025,masterdata-kan,945,920,0,10,15,0,,,17-July-2025,masterdata-kan,945,920,0,10,15,0
23-July-2025,pms,509,332,134,31,0,12,,,22-July-2025,masterdata-tam,945,919,0,11,15,0,,,21-July-2025,masterdata-tam,945,920,0,10,15,0,,,18-July-2025,masterdata-tam,945,920,0,10,15,0,,,17-July-2025,masterdata-tam,945,920,0,10,15,0
23-July-2025,prereg,281,1,74,206,0,0,,,22-July-2025,pms,509,332,134,31,0,12,,,21-July-2025,pms,509,332,134,31,0,12,,,18-July-2025,pms,509,332,134,31,0,12,,,17-July-2025,pms,509,332,134,31,0,12
23-July-2025,resident,1126,0,1126,0,0,0,,,22-July-2025,prereg,281,225,4,52,0,0,,,21-July-2025,prereg,281,225,4,52,0,0,,,18-July-2025,prereg,281,225,4,52,0,0,,,17-July-2025,prereg,281,225,4,52,0,0
23-July-2025,dsl,197,6,0,191,0,0,,,22-July-2025,resident,1126,0,1126,0,0,0,,,21-July-2025,resident,1126,31,1028,67,0,0,,,18-July-2025,resident,1126,879,12,235,0,0,,,17-July-2025,resident,1126,887,20,219,0,0
,,,,,,,,,,22-July-2025,dsl,197,27,0,170,0,0,,,21-July-2025,dsl,3,2,0,1,0,0,,,18-July-2025,dsl,197,0,195,2,0,0,,,17-July-2025,dsl,197,66,0,131,0,0
